secid,date,days,volatility,index_flag
101594,2020-09-16,30,0.539079,0
101594,2020-09-16,60,0.50481,0
101594,2020-09-16,91,0.432501,0
101594,2020-09-16,122,0.39665,0
101594,2020-09-16,152,0.377816,0
101594,2020-09-16,182,0.429889,0
101594,2020-09-16,273,0.497253,0
101594,2020-09-16,365,0.438294,0
101594,2020-09-16,547,0.389261,0
101594,2020-09-16,730,0.385122,0
101594,2020-09-16,1825,0.296085,0
101594,2020-09-17,10,0.557516,0
101594,2020-09-17,14,0.525455,0
101594,2020-09-17,30,0.540374,0
101594,2020-09-17,60,0.501052,0
101594,2020-09-17,91,0.434297,0
101594,2020-09-17,122,0.396837,0
101594,2020-09-17,152,0.377342,0
101594,2020-09-17,182,0.430544,0
101594,2020-09-17,273,0.497721,0
101594,2020-09-17,365,0.438654,0
101594,2020-09-17,547,0.389518,0
101594,2020-09-17,730,0.385323,0
101594,2020-09-17,1825,0.296068,0
101594,2020-09-18,10,0.445152,0
101594,2020-09-18,14,0.532939,0
101594,2020-09-18,30,0.550041,0
101594,2020-09-18,60,0.506284,0
101594,2020-09-18,91,0.439819,0
101594,2020-09-18,122,0.401378,0
101594,2020-09-18,152,0.379707,0
101594,2020-09-18,182,0.422064,0
101594,2020-09-18,273,0.499323,0
101594,2020-09-18,365,0.439914,0
101594,2020-09-18,547,0.389547,0
101594,2020-09-18,730,0.38606,0
101594,2020-09-18,1825,0.296327,0
101594,2020-09-21,10,0.444027,0
101594,2020-09-21,14,0.548195,0
101594,2020-09-21,30,0.533447,0
101594,2020-09-21,60,0.50628,0
101594,2020-09-21,91,0.440738,0
101594,2020-09-21,122,0.407402,0
101594,2020-09-21,152,0.377524,0
101594,2020-09-21,182,0.421823,0
101594,2020-09-21,273,0.500091,0
101594,2020-09-21,365,0.440406,0
101594,2020-09-21,547,0.389746,0
101594,2020-09-21,730,0.386849,0
101594,2020-09-21,1825,0.29666,0
101594,2020-09-22,10,0.420224,0
101594,2020-09-22,14,0.442807,0
101594,2020-09-22,30,0.525344,0
101594,2020-09-22,60,0.506761,0
101594,2020-09-22,91,0.439967,0
101594,2020-09-22,122,0.405446,0
101594,2020-09-22,152,0.377684,0
101594,2020-09-22,182,0.402036,0
101594,2020-09-22,273,0.500323,0
101594,2020-09-22,365,0.440587,0
101594,2020-09-22,547,0.389718,0
101594,2020-09-22,730,0.386593,0
101594,2020-09-22,1825,0.296722,0
101594,2020-09-23,10,0.456672,0
101594,2020-09-23,14,0.42629,0
101594,2020-09-23,30,0.537169,0
101594,2020-09-23,60,0.513882,0
101594,2020-09-23,91,0.447609,0
101594,2020-09-23,122,0.411036,0
101594,2020-09-23,152,0.382922,0
101594,2020-09-23,182,0.40739,0
101594,2020-09-23,273,0.501733,0
101594,2020-09-23,365,0.442891,0
101594,2020-09-23,547,0.391325,0
101594,2020-09-23,730,0.387757,0
101594,2020-09-23,1825,0.297371,0
101594,2020-09-24,10,0.414163,0
101594,2020-09-24,14,0.413079,0
101594,2020-09-24,30,0.540718,0
101594,2020-09-24,60,0.507987,0
101594,2020-09-24,91,0.447368,0
101594,2020-09-24,122,0.408773,0
101594,2020-09-24,152,0.381215,0
101594,2020-09-24,182,0.401976,0
101594,2020-09-24,273,0.501411,0
101594,2020-09-24,365,0.442776,0
101594,2020-09-24,547,0.39134,0
101594,2020-09-24,730,0.387792,0
101594,2020-09-24,1825,0.297281,0
101594,2020-09-25,10,0.484694,0
101594,2020-09-25,14,0.458297,0
101594,2020-09-25,30,0.557527,0
101594,2020-09-25,60,0.512136,0
101594,2020-09-25,91,0.447075,0
101594,2020-09-25,122,0.412298,0
101594,2020-09-25,152,0.382732,0
101594,2020-09-25,182,0.399121,0
101594,2020-09-25,273,0.503004,0
101594,2020-09-25,365,0.444016,0
101594,2020-09-25,547,0.392357,0
101594,2020-09-25,730,0.388545,0
101594,2020-09-25,1825,0.297592,0
101594,2020-09-28,10,0.454289,0
101594,2020-09-28,14,0.448562,0
101594,2020-09-28,30,0.580647,0
101594,2020-09-28,60,0.522771,0
101594,2020-09-28,91,0.447217,0
101594,2020-09-28,122,0.418443,0
101594,2020-09-28,152,0.383701,0
101594,2020-09-28,182,0.398636,0
101594,2020-09-28,273,0.503588,0
101594,2020-09-28,365,0.444429,0
101594,2020-09-28,547,0.392726,0
101594,2020-09-28,730,0.389016,0
101594,2020-09-28,1825,0.297474,0
101594,2020-09-29,10,0.431397,0
101594,2020-09-29,14,0.44982,0
101594,2020-09-29,30,0.566074,0
101594,2020-09-29,60,0.464079,0
101594,2020-09-29,91,0.447701,0
101594,2020-09-29,122,0.416458,0
101594,2020-09-29,152,0.383293,0
101594,2020-09-29,182,0.398903,0
101594,2020-09-29,273,0.50369,0
101594,2020-09-29,365,0.444087,0
101594,2020-09-29,547,0.392794,0
101594,2020-09-29,730,0.388682,0
101594,2020-09-29,1825,0.29748,0
101594,2020-09-30,10,0.400623,0
101594,2020-09-30,14,0.425446,0
101594,2020-09-30,30,0.554133,0
101594,2020-09-30,60,0.45952,0
101594,2020-09-30,91,0.448132,0
101594,2020-09-30,122,0.414406,0
101594,2020-09-30,152,0.382302,0
101594,2020-09-30,182,0.390266,0
101594,2020-09-30,273,0.502559,0
101594,2020-09-30,365,0.444252,0
101594,2020-09-30,547,0.392805,0
101594,2020-09-30,730,0.388782,0
101594,2020-09-30,1825,0.297531,0
101594,2020-10-01,10,0.380022,0
101594,2020-10-01,14,0.411855,0
101594,2020-10-01,30,0.533099,0
101594,2020-10-01,60,0.454276,0
101594,2020-10-01,91,0.448155,0
101594,2020-10-01,122,0.414244,0
101594,2020-10-01,152,0.380525,0
101594,2020-10-01,182,0.389959,0
101594,2020-10-01,273,0.502065,0
101594,2020-10-01,365,0.443375,0
101594,2020-10-01,547,0.39282,0
101594,2020-10-01,730,0.388778,0
101594,2020-10-01,1825,0.29743,0
101594,2020-10-02,10,0.435496,0
101594,2020-10-02,14,0.413354,0
101594,2020-10-02,30,0.538679,0
101594,2020-10-02,60,0.458473,0
101594,2020-10-02,91,0.45054,0
101594,2020-10-02,122,0.4191,0
101594,2020-10-02,152,0.383046,0
101594,2020-10-02,182,0.392674,0
101594,2020-10-02,273,0.503516,0
101594,2020-10-02,365,0.444788,0
101594,2020-10-02,547,0.393867,0
101594,2020-10-02,730,0.38946,0
101594,2020-10-02,1825,0.297701,0
101594,2020-10-05,10,0.36742,0
101594,2020-10-05,14,0.414101,0
101594,2020-10-05,30,0.488554,0
101594,2020-10-05,60,0.467822,0
101594,2020-10-05,91,0.451408,0
101594,2020-10-05,122,0.423944,0
101594,2020-10-05,152,0.38807,0
101594,2020-10-05,182,0.378122,0
101594,2020-10-05,273,0.504517,0
101594,2020-10-05,365,0.444946,0
101594,2020-10-05,547,0.394517,0
101594,2020-10-05,730,0.389945,0
101594,2020-10-05,1825,0.298206,0
101594,2020-10-06,10,0.396484,0
101594,2020-10-06,14,0.443798,0
101594,2020-10-06,30,0.485423,0
101594,2020-10-06,60,0.470009,0
101594,2020-10-06,91,0.455845,0
101594,2020-10-06,122,0.425264,0
101594,2020-10-06,152,0.391358,0
101594,2020-10-06,182,0.380429,0
101594,2020-10-06,273,0.505759,0
101594,2020-10-06,365,0.446086,0
101594,2020-10-06,547,0.395199,0
101594,2020-10-06,730,0.390158,0
101594,2020-10-06,1825,0.298459,0
101594,2020-10-07,10,0.377513,0
101594,2020-10-07,14,0.373478,0
101594,2020-10-07,30,0.478536,0
101594,2020-10-07,60,0.465972,0
101594,2020-10-07,91,0.454924,0
101594,2020-10-07,122,0.423353,0
101594,2020-10-07,152,0.390687,0
101594,2020-10-07,182,0.379684,0
101594,2020-10-07,273,0.505792,0
101594,2020-10-07,365,0.446066,0
101594,2020-10-07,547,0.395355,0
101594,2020-10-07,730,0.3903,0
101594,2020-10-07,1825,0.298372,0
101594,2020-10-08,10,0.353904,0
101594,2020-10-08,14,0.375132,0
101594,2020-10-08,30,0.414641,0
101594,2020-10-08,60,0.460412,0
101594,2020-10-08,91,0.454989,0
101594,2020-10-08,122,0.423417,0
101594,2020-10-08,152,0.38889,0
101594,2020-10-08,182,0.379737,0
101594,2020-10-08,273,0.505335,0
101594,2020-10-08,365,0.445996,0
101594,2020-10-08,547,0.395355,0
101594,2020-10-08,730,0.390207,0
101594,2020-10-08,1825,0.298254,0
101594,2020-10-09,10,0.362052,0
101594,2020-10-09,14,0.341517,0
101594,2020-10-09,30,0.396647,0
101594,2020-10-09,60,0.460963,0
101594,2020-10-09,91,0.455878,0
101594,2020-10-09,122,0.421426,0
101594,2020-10-09,152,0.387607,0
101594,2020-10-09,182,0.378665,0
101594,2020-10-09,273,0.505636,0
101594,2020-10-09,365,0.446104,0
101594,2020-10-09,547,0.395449,0
101594,2020-10-09,730,0.388822,0
101594,2020-10-09,1825,0.298222,0
101594,2020-10-12,10,0.481808,0
101594,2020-10-12,14,0.441021,0
101594,2020-10-12,30,0.436224,0
101594,2020-10-12,60,0.481501,0
101594,2020-10-12,91,0.470083,0
101594,2020-10-12,122,0.426439,0
101594,2020-10-12,152,0.399421,0
101594,2020-10-12,182,0.386579,0
101594,2020-10-12,273,0.509806,0
101594,2020-10-12,365,0.449352,0
101594,2020-10-12,547,0.398392,0
101594,2020-10-12,730,0.390735,0
101594,2020-10-12,1825,0.29959,0
101594,2020-10-13,10,0.509536,0
101594,2020-10-13,14,0.469687,0
101594,2020-10-13,30,0.439176,0
101594,2020-10-13,60,0.486739,0
101594,2020-10-13,91,0.47341,0
101594,2020-10-13,122,0.427345,0
101594,2020-10-13,152,0.402378,0
101594,2020-10-13,182,0.383916,0
101594,2020-10-13,273,0.510596,0
101594,2020-10-13,365,0.450324,0
101594,2020-10-13,547,0.399113,0
101594,2020-10-13,730,0.390868,0
101594,2020-10-13,1825,0.299793,0
101594,2020-10-14,10,0.474509,0
101594,2020-10-14,14,0.467477,0
101594,2020-10-14,30,0.429452,0
101594,2020-10-14,60,0.480768,0
101594,2020-10-14,91,0.473391,0
101594,2020-10-14,122,0.424866,0
101594,2020-10-14,152,0.4021,0
101594,2020-10-14,182,0.383481,0
101594,2020-10-14,273,0.510541,0
101594,2020-10-14,365,0.450298,0
101594,2020-10-14,547,0.39911,0
101594,2020-10-14,730,0.390522,0
101594,2020-10-14,1825,0.299768,0
101594,2020-10-15,10,0.457019,0
101594,2020-10-15,14,0.468731,0
101594,2020-10-15,30,0.429965,0
101594,2020-10-15,60,0.475179,0
101594,2020-10-15,91,0.472564,0
101594,2020-10-15,122,0.424858,0
101594,2020-10-15,152,0.400386,0
101594,2020-10-15,182,0.383619,0
101594,2020-10-15,273,0.510459,0
101594,2020-10-15,365,0.450297,0
101594,2020-10-15,547,0.398904,0
101594,2020-10-15,730,0.39028,0
101594,2020-10-15,1825,0.299658,0
101594,2020-10-16,10,0.423983,0
101594,2020-10-16,14,0.436679,0
101594,2020-10-16,30,0.419036,0
101594,2020-10-16,60,0.476536,0
101594,2020-10-16,91,0.473737,0
101594,2020-10-16,122,0.424221,0
101594,2020-10-16,152,0.399489,0
101594,2020-10-16,182,0.38366,0
101594,2020-10-16,273,0.510707,0
101594,2020-10-16,365,0.450617,0
101594,2020-10-16,547,0.399129,0
101594,2020-10-16,730,0.390416,0
101594,2020-10-16,1825,0.299617,0
101594,2020-10-19,10,0.52111,0
101594,2020-10-19,14,0.437169,0
101594,2020-10-19,30,0.417666,0
101594,2020-10-19,60,0.489214,0
101594,2020-10-19,91,0.475894,0
101594,2020-10-19,122,0.431921,0
101594,2020-10-19,152,0.403833,0
101594,2020-10-19,182,0.384362,0
101594,2020-10-19,273,0.510377,0
101594,2020-10-19,365,0.451526,0
101594,2020-10-19,547,0.399261,0
101594,2020-10-19,730,0.390762,0
101594,2020-10-19,1825,0.299997,0
101594,2020-10-20,10,0.48362,0
101594,2020-10-20,14,0.410252,0
101594,2020-10-20,30,0.408787,0
101594,2020-10-20,60,0.47336,0
101594,2020-10-20,91,0.475164,0
101594,2020-10-20,122,0.429669,0
101594,2020-10-20,152,0.403727,0
101594,2020-10-20,182,0.381242,0
101594,2020-10-20,273,0.510433,0
101594,2020-10-20,365,0.451413,0
101594,2020-10-20,547,0.399359,0
101594,2020-10-20,730,0.390459,0
101594,2020-10-20,1825,0.299979,0
101594,2020-10-21,10,0.449061,0
101594,2020-10-21,14,0.405626,0
101594,2020-10-21,30,0.399679,0
101594,2020-10-21,60,0.467658,0
101594,2020-10-21,91,0.475463,0
101594,2020-10-21,122,0.427409,0
101594,2020-10-21,152,0.403957,0
101594,2020-10-21,182,0.37997,0
101594,2020-10-21,273,0.510505,0
101594,2020-10-21,365,0.451459,0
101594,2020-10-21,547,0.399286,0
101594,2020-10-21,730,0.390477,0
101594,2020-10-21,1825,0.299705,0
101594,2020-10-22,10,0.212339,0
101594,2020-10-22,14,0.409441,0
101594,2020-10-22,30,0.399046,0
101594,2020-10-22,60,0.462478,0
101594,2020-10-22,91,0.465632,0
101594,2020-10-22,122,0.4262,0
101594,2020-10-22,152,0.402551,0
101594,2020-10-22,182,0.3803,0
101594,2020-10-22,273,0.510672,0
101594,2020-10-22,365,0.451499,0
101594,2020-10-22,547,0.399391,0
101594,2020-10-22,730,0.390517,0
101594,2020-10-22,1825,0.299625,0
101594,2020-10-23,10,0.178724,0
101594,2020-10-23,14,0.399659,0
101594,2020-10-23,30,0.368153,0
101594,2020-10-23,60,0.461366,0
101594,2020-10-23,91,0.465877,0
101594,2020-10-23,122,0.425315,0
101594,2020-10-23,152,0.400924,0
101594,2020-10-23,182,0.378995,0
101594,2020-10-23,273,0.510728,0
101594,2020-10-23,365,0.451583,0
101594,2020-10-23,547,0.399342,0
101594,2020-10-23,730,0.389701,0
101594,2020-10-23,1825,0.299523,0
101594,2020-10-26,10,0.202026,0
101594,2020-10-26,14,0.192907,0
101594,2020-10-26,30,0.355619,0
101594,2020-10-26,60,0.470252,0
101594,2020-10-26,91,0.464166,0
101594,2020-10-26,122,0.424403,0
101594,2020-10-26,152,0.402546,0
101594,2020-10-26,182,0.379006,0
101594,2020-10-26,273,0.509403,0
101594,2020-10-26,365,0.451485,0
101594,2020-10-26,547,0.399306,0
101594,2020-10-26,730,0.389631,0
101594,2020-10-26,1825,0.298849,0
101594,2020-10-27,10,0.216929,0
101594,2020-10-27,14,0.187264,0
101594,2020-10-27,30,0.349505,0
101594,2020-10-27,60,0.471802,0
101594,2020-10-27,91,0.462906,0
101594,2020-10-27,122,0.422236,0
101594,2020-10-27,152,0.402804,0
101594,2020-10-27,182,0.37815,0
101594,2020-10-27,273,0.508698,0
101594,2020-10-27,365,0.451555,0
101594,2020-10-27,547,0.399409,0
101594,2020-10-27,730,0.389332,0
101594,2020-10-27,1825,0.29887,0
101594,2020-10-28,10,0.320421,0
101594,2020-10-28,14,0.285138,0
101594,2020-10-28,30,0.377669,0
101594,2020-10-28,60,0.479303,0
101594,2020-10-28,91,0.472682,0
101594,2020-10-28,122,0.428623,0
101594,2020-10-28,152,0.410371,0
101594,2020-10-28,182,0.382898,0
101594,2020-10-28,273,0.51141,0
101594,2020-10-28,365,0.453574,0
101594,2020-10-28,547,0.401069,0
101594,2020-10-28,730,0.390605,0
101594,2020-10-28,1825,0.299629,0
101594,2020-10-29,10,0.383216,0
101594,2020-10-29,14,0.36442,0
101594,2020-10-29,30,0.39795,0
101594,2020-10-29,60,0.482944,0
101594,2020-10-29,91,0.477099,0
101594,2020-10-29,122,0.431137,0
101594,2020-10-29,152,0.411595,0
101594,2020-10-29,182,0.384925,0
101594,2020-10-29,273,0.512953,0
101594,2020-10-29,365,0.454834,0
101594,2020-10-29,547,0.400301,0
101594,2020-10-29,730,0.391376,0
101594,2020-10-29,1825,0.299925,0
101594,2020-10-30,10,0.483889,0
101594,2020-10-30,14,0.451485,0
101594,2020-10-30,30,0.439921,0
101594,2020-10-30,60,0.493293,0
101594,2020-10-30,91,0.450912,0
101594,2020-10-30,122,0.443272,0
101594,2020-10-30,152,0.420179,0
101594,2020-10-30,182,0.393516,0
101594,2020-10-30,273,0.514656,0
101594,2020-10-30,365,0.458364,0
101594,2020-10-30,547,0.403196,0
101594,2020-10-30,730,0.393239,0
101594,2020-10-30,1825,0.300957,0
101594,2020-11-02,10,0.574635,0
101594,2020-11-02,14,0.442574,0
101594,2020-11-02,30,0.435967,0
101594,2020-11-02,60,0.449211,0
101594,2020-11-02,91,0.448207,0
101594,2020-11-02,122,0.445863,0
101594,2020-11-02,152,0.423923,0
101594,2020-11-02,182,0.393258,0
101594,2020-11-02,273,0.514638,0
101594,2020-11-02,365,0.457645,0
101594,2020-11-02,547,0.403114,0
101594,2020-11-02,730,0.39036,0
101594,2020-11-02,1825,0.301096,0
101594,2020-11-03,10,0.544901,0
101594,2020-11-03,14,0.445327,0
101594,2020-11-03,30,0.429361,0
101594,2020-11-03,60,0.451321,0
101594,2020-11-03,91,0.449039,0
101594,2020-11-03,122,0.443801,0
101594,2020-11-03,152,0.423979,0
